,,,,,,,,,
,Expences for Paycheck 12/2/2022,,,,,,,,
,Expence,,,Catagory,Cost,Total,,Catagory Totals,
,Cigarettes,,,Cigarettes,21.45,21.45,,Groceries,232.14000000000001
,CVS Carepass,,,Medical,5.25,26.7,,Cigarettes,38.71
,Wal-Mart,,,Groceries,201.55,228.25,,Gas,0
,CVS (Hydroxyzine Refill),,,Medical,10,238.25,,Entertainment,14.99
,Battle.net (WoW Sub),,,Entertainment,14.99,253.24,,Medical,15.25
,Quik Trip,,,Cigarettes,17.26,270.5,,Vehicle,0
,Wal-Mart,,,Groceries,23.07,293.57,,Maintenance,0
,Quik Trip (Coffee),,,Groceries,2.09,295.65999999999997,,Total : ,301.09000000000003
,Quik Trip (Coffee),,,Groceries,2.09,297.74999999999994,,,
,Quik Trip (Coffee),,,Groceries,3.34,301.0899999999999,,,
,,,,,0,301.0899999999999,,,
,,,,,0,301.0899999999999,,,
,,,,,0,301.0899999999999,,,
,,,,,0,301.0899999999999,,,
,,,,,0,301.0899999999999,,,
,,,,,0,301.0899999999999,,,
,Expence Grand Total,,,,301.0899999999999,,,,
