,,,,,,,,,,,,
,Expences for 10/31/2025 - 11/13/2025,,,,,,,,,Catagory Totals,,
,CC,Expence,,,Date,Catagory,Cost,Total,,Groceries,0,
,false,Vending Machine Total,,,Fri Oct 31 2025 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,0,0,,Cigarettes,0,
,false,MDG Payment,,,Fri Oct 31 2025 01:00:00 GMT-0400 (Eastern Daylight Time),Debt,0,0,,Gas,0,
,false,,,,,,0,0,,Entertainment,0,
,false,,,,,,0,0,,Medical,0,
,false,,,,,,0,0,,Vehicle,0,
,false,,,,,,0,0,,Maintenance,0,
,false,,,,,,0,0,,Debt,0,
,false,,,,,,0,0,,Holiday Gifts,0,
,false,,,,,,0,0,,Haircut,0,
,false,,,,,,0,0,,Subscription - Video,0,
,false,,,,,,0,0,,Subscription - Game,0,
,false,,,,,,0,0,,,,
,false,,,,,,0,0,,Catagory,YTD,Average
,false,,,,,,0,0,,Groceries,-3932.14,-178.73363636363635
,false,,,,,,0,0,,Cigarettes,-829.3299999999999,-37.69681818181818
,false,,,,,,0,0,,Gas,-372.21,-16.918636363636363
,false,,,,,,0,0,,Entertainment,-1280.95,-58.225
,false,,,,,,0,0,,Medical,-253.36,-11.516363636363637
,false,,,,,,0,0,,Vehicle,-190.47,-8.657727272727273
,false,,,,,,0,0,,Maintenance,-950.8399999999999,-43.22
,false,,,,,,0,0,,Debt,-1214.9700000000003,-55.225909090909106
,false,,,,,,0,0,,Holiday Gifts,0,0
,false,,,,,,0,0,,Haircut,-54,-2.4545454545454546
,false,,,,,,0,0,,Subscription - Video,-225.49000000000004,-10.249545454545457
,false,,,,,,0,0,,Subscription - Game,-26.38,-1.199090909090909
,false,,,,,,0,0,,Paycheck Number,,22
,false,,,,,,0,0,,,,
,false,,,,,,0,0,,Vending Machine Costs,,
,false,,,,,,0,0,,Fri Jul 11 2025 01:00:00 GMT-0400 (Eastern Daylight Time),,0
,false,,,,,,0,0,,07/25/2025,,0
,,Expence Grand Total,,,,,0,,,08/08/2025,,0
,,,,,,,,,,08/22/2025,,0
,Shopping List,,,,,,,,,09/05/2025,,0
,Tax,Item,Isle,Category,Amount,Cost of One,Total Cost,,,09/19/2025,,0
,false,,,,,0,0,,,10/03/2025,,0
,false,,,,,0,0,,,10/17/2025,,0
,false,,,,,0,0,,,10/31/2025,,0
,false,,,,,0,0,,,11/14/2025,,0
,false,,,,,0,0,,,11/28/2025,,0
,false,,,,,0,0,,,12/12/2025,,0
,false,,,,,0,0,,,12/26/2025,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,,Total Cost (No Credit Card Use):,,,,,0,,,,,
,Remaining Balance:,,,,,,1866.6000000000013,,,,,Sat Jun 21 2025 01:00:00 GMT-0400 (Eastern Daylight Time)
