,,,,,,,,,,,,
,Expences for 08/08/2025 - 08/21/2025,,,,,,,,,Catagory Totals,,
,CC,Expence,,,Date,Catagory,Cost,Total,,Groceries,0,
,false,Vending Machine Total,,,Fri Aug 08 2025 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,0,0,,Cigarettes,0,
,false,MDG Payment,,,Fri Aug 08 2025 01:00:00 GMT-0400 (Eastern Daylight Time),Debt,0,0,,Gas,0,
,false,,,,,,0,0,,Entertainment,0,
,false,,,,,,0,0,,Medical,0,
,false,,,,,,0,0,,Vehicle,0,
,false,,,,,,0,0,,Maintenance,0,
,false,,,,,,0,0,,Debt,0,
,false,,,,,,0,0,,Holiday Gifts,0,
,false,,,,,,0,0,,Haircut,0,
,false,,,,,,0,0,,Subscription - Video,0,
,false,,,,,,0,0,,Subscription - Game,0,
,false,,,,,,0,0,,,,
,false,,,,,,0,0,,Catagory,YTD,Average
,false,,,,,,0,0,,Groceries,-3932.14,-245.75875
,false,,,,,,0,0,,Cigarettes,-829.3299999999999,-51.833124999999995
,false,,,,,,0,0,,Gas,-372.21,-23.263125
,false,,,,,,0,0,,Entertainment,-1280.95,-80.059375
,false,,,,,,0,0,,Medical,-253.36,-15.835
,false,,,,,,0,0,,Vehicle,-190.47,-11.904375
,false,,,,,,0,0,,Maintenance,-950.8399999999999,-59.427499999999995
,false,,,,,,0,0,,Debt,-1214.9700000000003,-75.93562500000002
,false,,,,,,0,0,,Holiday Gifts,0,0
,false,,,,,,0,0,,Haircut,-54,-3.375
,false,,,,,,0,0,,Subscription - Video,-225.49000000000004,-14.093125000000002
,false,,,,,,0,0,,Subscription - Game,-26.38,-1.64875
,false,,,,,,0,0,,Paycheck Number,,16
,false,,,,,,0,0,,,,
,false,,,,,,0,0,,Vending Machine Costs,,
,false,,,,,,0,0,,,,0
,false,,,,,,0,0,,,,0
,,Expence Grand Total,,,,,0,,,,,0
,,,,,,,,,,,,0
,Shopping List,,,,,,,,,,,0
,Tax,Item,Isle,Category,Amount,Cost of One,Total Cost,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,,Total Cost (No Credit Card Use):,,,,,0,,,,,
,Remaining Balance:,,,,,,1866.6000000000013,,,,,Sat Jun 21 2025 01:00:00 GMT-0400 (Eastern Daylight Time)
