,,,,,,,,,
,Expences for Paycheck 12/30/2022,,,,,,,,
,Expence,,,Catagory,Cost,Total,,Catagory Totals,
,Walmart,,,Groceries,165.54,165.54,,Groceries,296.54999999999995
,Kwik-Trip,,,Cigarettes,19.77,185.31,,Cigarettes,45.489999999999995
,Epic Games Store,,,Entertainment,23.61,208.92000000000002,,Gas,53.57
,Walmart,,,Entertainment,203.77,412.69000000000005,,Entertainment,227.38
,CVS (Venlafaxine),,,Medical,30,442.69000000000005,,Medical,35.25
,Kwik-Trip,,,Gas,24.04,466.7300000000001,,Vehicle,12
,CVS Carepass,,,Medical,5.25,471.9800000000001,,Maintenance,18.1
,Walmart,,,Groceries,127.67,599.6500000000001,,,
,Citco,,,Gas,29.53,629.1800000000001,,,
,Citco,,,Cigarettes,25.72,654.9000000000001,,,
,Harbor-Freight,,,Maintenance,18.1,673.0000000000001,,,
,Kwik-Trip,,,Vehicle,12,685.0000000000001,,,
,Kwik-Trip,,,Groceries,3.34,688.3400000000001,,,
,,,,,0,688.3400000000001,,,
,,,,,0,688.3400000000001,,,
,,,,,0,688.3400000000001,,,
,Expence Grand Total,,,,688.3400000000001,,,,
