,,,,,,
,Expences for Paycheck 8/26/2022,,,,,
,Expence,,,Cost,Total,Notes
,Cash On Hand,,,0,0,
,Change On Hand,,,0,0,
,Payment for Parent's Back Padio,,,0,0,
,Groceries / Other,,,172.48,172.48,1.Harbor Freight ($3.39)  2.Steam ($56.27)  3.Wal-Mart ($112.82)
,Cigarettes,,,25.07,197.54999999999998,1.Quik Trip ($25.07)
,Gas,,,7.02,204.57,1.Quik Trip ($7.02)
,,,,0,204.57,
,,,,0,204.57,
,,,,0,204.57,
,,,,0,204.57,
,,,,0,204.57,
,,,,0,204.57,
,,,,0,204.57,
,,,,0,204.57,
,,,,0,204.57,
,,,,0,204.57,
,,,,0,204.57,
,,,,0,204.57,
,,,,0,204.57,
,,,,0,204.57,
,Expence Grand Total,,,0,,
