,,,,,,,,,,,
,Expences for Paycheck 6/16/2023,,,,,,,,Catagory Totals,,
,Expence,,,Date,Catagory,Cost,Total,,Groceries,478.33000000000004,
,Wal-Mart,,,Sat Jun 17 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,108.07,108.07,,Cigarettes,37.68,
,MDG,,,Sat Jun 17 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Debt,8.95,117.02,,Gas,20.57,
,Kwik-Trip,,,Mon Jun 19 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,17.68,134.7,,Entertainment,73.49,
,Diablo 4,,,Wed Jun 21 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Entertainment,73.49,208.19,,Medical,0,
,Wal-Mart (Mouse / Broom),,,Wed Jun 21 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,62.92,271.11,,Vehicle,0,
,Festival,,,Sun Jun 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,65.47,336.58000000000004,,Maintenance,127.52,
,Wal-Mart,,,Sun Jun 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,304.79,641.3700000000001,,Debt,8.95,
,Wal-Mart (Light Bulbs),,,Sun Jun 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,64.6,705.9700000000001,,,,
,Mobile,,,Sat Jun 24 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,20,725.9700000000001,,Catagory,YTD,Average
,Mobile,,,Sat Jun 24 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Gas,20.57,746.5400000000002,,Groceries,2666.9199999999996,222.2433333333333
,,,,,,0,746.5400000000002,,Cigarettes,542.9699999999999,45.247499999999995
,,,,,,0,746.5400000000002,,Gas,296.72,24.72666666666667
,,,,,,0,746.5400000000002,,Entertainment,476.99,39.74916666666667
,,,,,,0,746.5400000000002,,Medical,212.22,17.685
,,,,,,0,746.5400000000002,,Vehicle,144.32,12.026666666666666
,,,,,,0,746.5400000000002,,Maintenance,600.66,50.055
,,,,,,0,746.5400000000002,,Debt,350.6499999999999,29.220833333333328
,Expence Grand Total,,,,,746.5400000000002,,,Paycheck Number,,12
