,,,,,,,,,,,,
,Expences for 10/03/2025 - 10/16/2025,,,,,,,,,Catagory Totals,,
,CC,Expence,,,Date,Catagory,Cost,Total,,Groceries,0,
,false,Vending Machine Total,,,Fri Oct 03 2025 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,0,0,,Cigarettes,0,
,false,MDG Payment,,,Fri Oct 03 2025 01:00:00 GMT-0400 (Eastern Daylight Time),Debt,0,0,,Gas,0,
,false,,,,,,0,0,,Entertainment,0,
,false,,,,,,0,0,,Medical,0,
,false,,,,,,0,0,,Vehicle,0,
,false,,,,,,0,0,,Maintenance,0,
,false,,,,,,0,0,,Debt,0,
,false,,,,,,0,0,,Holiday Gifts,0,
,false,,,,,,0,0,,Haircut,0,
,false,,,,,,0,0,,Subscription - Video,0,
,false,,,,,,0,0,,Subscription - Game,0,
,false,,,,,,0,0,,,,
,false,,,,,,0,0,,Catagory,YTD,Average
,false,,,,,,0,0,,Groceries,-3932.14,-196.607
,false,,,,,,0,0,,Cigarettes,-829.3299999999999,-41.466499999999996
,false,,,,,,0,0,,Gas,-372.21,-18.6105
,false,,,,,,0,0,,Entertainment,-1280.95,-64.0475
,false,,,,,,0,0,,Medical,-253.36,-12.668000000000001
,false,,,,,,0,0,,Vehicle,-190.47,-9.5235
,false,,,,,,0,0,,Maintenance,-950.8399999999999,-47.541999999999994
,false,,,,,,0,0,,Debt,-1214.9700000000003,-60.748500000000014
,false,,,,,,0,0,,Holiday Gifts,0,0
,false,,,,,,0,0,,Haircut,-54,-2.7
,false,,,,,,0,0,,Subscription - Video,-225.49000000000004,-11.274500000000002
,false,,,,,,0,0,,Subscription - Game,-26.38,-1.319
,false,,,,,,0,0,,Paycheck Number,,20
,false,,,,,,0,0,,,,
,false,,,,,,0,0,,Vending Machine Costs,,
,false,,,,,,0,0,,,,0
,false,,,,,,0,0,,,,0
,,Expence Grand Total,,,,,0,,,,,0
,,,,,,,,,,,,0
,Shopping List,,,,,,,,,,,0
,Tax,Item,Isle,Category,Amount,Cost of One,Total Cost,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,,Total Cost (No Credit Card Use):,,,,,0,,,,,
,Remaining Balance:,,,,,,1866.6000000000013,,,,,Sat Jun 21 2025 01:00:00 GMT-0400 (Eastern Daylight Time)
