,,,,,,
,Expences for Paycheck 9/23/2022,,,,,
,Expence,,,Cost,Total,Notes
,Cash On Hand,,,0,0,
,Change On Hand,,,0,0,
,Payment for Parent's Back Padio,,,0,0,
,Gift / Debit Cards On Hand,,,0,0,
,Groceries / Other,,,172.32,172.32,
,Cigarettes,,,0,172.32,
,Gas,,,0,172.32,
,,,,0,172.32,
,,,,0,172.32,
,,,,0,172.32,
,,,,0,172.32,
,,,,0,172.32,
,,,,0,172.32,
,,,,0,172.32,
,,,,0,172.32,
,,,,0,172.32,
,,,,0,172.32,
,,,,0,172.32,
,,,,0,172.32,
,,,,0,172.32,
,Expence Grand Total,,,0,,
